house_lord,house,nature,description
house6lord,house10,Neutral,If fortified  Sinful and destructive nature poses as an orthodox and pious man but really unscrupulous in regard to religious matters. When the lord is weak  dismissal formidable enemies low life or begging.
house6lord,house11,Neutral,If benefic eldest brother will be a judge. If ordinary  an elder brother becomes a judge for some time but loses his job. If malefic  poor and wretched life  suffering on account of convictions.
house6lord,house12,Neutral,Well disposed  difficulty and sorrow through destructive nature causes harm to others. If afflicted  miserable hard and wretched existence.
house7lord,house1,Neutral,The native may marry someone he has known since childhood or one who has been brought up in the same house. The wife or husband of the native will be a stable and mature person. He will be intelligent and capable of weighing the pros and cons. Afflictions to the 7th lord may entail constant travelling. If the 7th lord and Venus are afflicted the native may be sensual and seek clandestine relationship with the opposite sex.
house7lord,house2,Neutral,The native will get wealth from women or through marriage. If afflicted one may earn money through despicable means as trading in flesh women not excluding his wife. He may eat food offered at death-ceremonies shraddha and wander about seeking such food. If the second house is a dual sign and afflicted more than one marriage is likely. If a maraka Dasa is on the native may die during the period of the seventh lord. The person will have a wavering mind and will always be inclined sensually.
house7lord,house3,Neutral,This disposition gives lucky brothers who may live abroad. If afflicted the native may indulge in adultery with a brothers or sisters married partner. Affliction also gives misfortunes to co-boms. Female issues servive.
house7lord,house4,Neutral,Gives a lucky and happy married partner with many children and comforts. The native may have the benefit of high academic qualification and own many vehicles. If afflicted domestic harmony may be spoilt through an immature and mean partner. The native may run into endless problems on account of his conveyances. If severely afflicted by the nodes and other malefics the natives wifes character becomes questionable.
house7lord,house5,Neutral,An early marriage the partner may hail from an affluent and well-to-do family. The wife or husband will be mature and an advantage to the native. If the 7th lord is weak there may be no children. If severely afflicted one may get issues through the adulterous conduct of the wife. If there are both afflictions and benefic influences on the 7th lord the native may get only female progeny. Trouble to ones office superiors through foreign sources is likely. The native will possess good character.
house7lord,house6,Neutral,The native may have two marriages with both partners living. One may marry a cousin such as an uncles daughter. If badly afflicted and the karaka Venus is also ill-disposed one may suffer from impotency and many other diseases. The natives wife may be sickly and jealous by nature denying the husband happiness from marriage. If Venus is well placed but the 7th lord is afflicted the native may suffer from piles. If Venus is weak but not afflicted one may desert or lose ones married partner through some indiscreet act.
house7lord,house7,Neutral,If well placed the native will have a charming and magnetic personality. Women will flock to him and seek him out for alliance. The wife or husband will be a just and honourable person coming from a family of reputation and social standing. If weak and afflicted it gives a lonely life devoid of marriage and friends and loss through marriage negotiations.
house7lord,house8,Neutral,When well placed marriage may take place with relatives or the partner may be a rich person. Affliction causes the early death of partner while the native may die in distant lands. It gives a sickly and ill-tempered wife or husband leading to estrangement and separation.
house7lord,house9,Neutral,If fortified the father may live abroad while the native may make his fortune in foreign lands. He will get an accomplished wife who will enable him to lead a righteous life. If afflicted the father may die early. Married partner may drag the native from the right course Dharmic of life and he may waste away his wealth and suffer penury.
house7lord,house10,Neutral,The native may flourish in a profession abroad or his career may involve constant travelling One will get a devoted and faithful wife or husband. The wife may also be employed and contribute to the natives income. Or she may help in the advancement of the natives career. If afflicted wife will be avaricious and over-ambitious but without sufficient capacity. Consequently natives career may suffer and deteriorate.
house7lord,house11,Neutral,There may be more than one marriage or the native may associate with many women. If beneficially disposed wife may hail from a rich background or bring in much wealth. If afflicted the native may marry more than once but one wife may outlive him.
house7lord,house12,Neutral,There maybe more than one marriage in the natives life. He may marry a second time clandestinely while the first wife is still alive. Or if afflicted he may marry a second time after losing the first wife by death or separation. But if the affliction is severe the wife or husband may die or separate soon after marriage and there may be no second marriage. Death may occur while travelling or abroad. If both karaka and the 7th lord are weak the native may only dream of women but never marry. The natives wife may hail from a servants family. He will be close-fisted and generally poor.
house8lord,house1,Neutral,Penury and heavy debts will befall the native who has the 8th lord placed in the Ascendant with the Ascendant lord. Misfortune will follow him at every step. If the 8th lord is weak or placed in the 6th 8th or 12th from Navamsa Lagna the intensity of misfortune is reduced. If the 8th lord is severely afflicted the native will suffer bodily complaints such as disease and disfiguration. His constitution will be weak and he will have no bodily comforts. He will be the target of the displeasure of his superiors and higher-ups. Trouble from Government will cause him worries.
house8lord,house2,Neutral,The lord of the 8th house in conjunction with the 2nd lord in the 2nd house brings in troubles and problems of all sorts. The native suffers from eye and tooth troubles. He will have to eat unhealthy and tasteless or putrid foods. His domestic life will be filled with discontent and quarrels. His wife will not understand him. This may lead to estrangement and even separation. If longevity is good he may suffer some severe illness. If the 8th lord is in the 6th 8th or 12th from Navamsa Lagna the intensity of the results will be reduced in degree.
